Internal ID,Name,NetSuite Item,Service Category,NetSuite Item ID
158,On Demand Delivery,On Demand Delivery,Services,10914
157,LocalMile Trial,LocalMile Trial,Services,10913
156,Excess Weight Handling,Excess Weight Handling,Extras (Custom Price),10911
155,Additional LPO Bag,Additional LPO Bag,Extras,10910
154,Fixed Charges 2,Fixed Charges 2,Services,67
153,Package: AMPO & H2H,Package: Pickup from PO & Hand to Hand Delivery,Services,79
152,Package: AMPO 2 PO Box,Package: Pickup & Delivery from 2 PO,Services,78
151,Package: AMPO & PMPO 3,Package: Pickup from PO & Lodge Outgoing Mail 3,Services,10794
150,Package: AMPO & PMPO 2,Package: Pickup from PO & Lodge Outgoing Mail 2,Services,10793
103,CB 4,Counter Banking 4,Services,71
102,CB 3,Counter Banking 3,Services,70
101,CB 2,Counter Banking 2,Services,68
100,EB 3,Express Banking 3,Services,90
99,EB 2,Express Banking 2,Services,69
98,H2H 35,Hand to Hand Deliveries 35,Services,8940
97,H2H 34,Hand to Hand Deliveries 34,Services,8939
96,H2H 33,Hand to Hand Deliveries 33,Services,8938
95,H2H 32,Hand to Hand Deliveries 32,Services,8937
94,H2H 31,Hand to Hand Deliveries 31,Services,8936
93,H2H 30,Hand to Hand Deliveries 30,Services,8935
92,H2H 29,Hand to Hand Deliveries 29,Services,8934
91,H2H 28,Hand to Hand Deliveries 28,Services,8933
90,H2H 27,Hand to Hand Deliveries 27,Services,8932
89,H2H 26,Hand to Hand Deliveries 26,Services,8931
88,H2H 25,Hand to Hand Deliveries 25,Services,8930
87,H2H 24,Hand to Hand Deliveries 24,Services,8929
86,H2H 23,Hand to Hand Deliveries 23,Services,8928
85,H2H 22,Hand to Hand Deliveries 22,Services,8927
84,H2H 21,Hand to Hand Deliveries 21,Services,8926
83,H2H 20,Hand to Hand Deliveries 20,Services,8925
82,H2H 19,Hand to Hand Deliveries 19,Services,8924
81,H2H 18,Hand to Hand Deliveries 18,Services,8923
80,H2H 17,Hand to Hand Deliveries 17,Services,8922
79,H2H 16,Hand to Hand Deliveries 16,Services,8921
